ReleaseURL,Release,Gross,Theaters,TotalGross,ReleaseDate,DistributorURL,Distributor,datetime,Month
/release/rl2155447809/?ref_=bo_yld_table_230,Wadjda,"$1,325,033",87,"$1,347,747",Sep 13,https://pro.imdb.com/company/co0014453/boxoffice/?view=releases&ref_=mojo_yld_table_230&rf=mojo_yld_table_230,Sony Pictures Classics,2013-09-13,9
/release/rl3059516929/?ref_=bo_yld_table_231,The Kings of Summer,"$1,315,590",65,"$1,315,590",May 31,https://pro.imdb.com/company/co0047306/boxoffice/?view=releases&ref_=mojo_yld_table_231&rf=mojo_yld_table_231,CBS Films,2013-05-31,5
/release/rl2474018305/?ref_=bo_yld_table_232,Under the Sea 3D,"$1,235,365",108,"$36,262,926",Feb 13,https://pro.imdb.com/company/co0002663/boxoffice/?view=releases&ref_=mojo_yld_table_232&rf=mojo_yld_table_232,Warner Bros.,2013-02-13,2
/release/rl2338031105/?ref_=bo_yld_table_233,Inequality for All,"$1,192,007",103,"$1,205,273",Sep 27,https://pro.imdb.com/company/co0368345/boxoffice/?view=releases&ref_=mojo_yld_table_233&rf=mojo_yld_table_233,RADiUS-TWC,2013-09-27,9
/release/rl2707523073/?ref_=bo_yld_table_234,The Lords of Salem,"$1,165,882",354,"$1,165,882",Apr 19,https://pro.imdb.com/company/co0249289/boxoffice/?view=releases&ref_=mojo_yld_table_234&rf=mojo_yld_table_234,Anchor Bay Films,2013-04-19,4
/release/rl2657912321/?ref_=bo_yld_table_235,Romeo and Juliet,"$1,162,635",461,"$1,162,635",Oct 11,https://pro.imdb.com/company/co0142678/boxoffice/?view=releases&ref_=mojo_yld_table_235&rf=mojo_yld_table_235,Relativity Media,2013-10-11,10
/release/rl3864888833/?ref_=bo_yld_table_236,Kai Po Che,"$1,122,527",110,"$1,122,527",Feb 22,https://pro.imdb.com/company/co0131238/boxoffice/?view=releases&ref_=mojo_yld_table_236&rf=mojo_yld_table_236,UTV Motion Pictures,2013-02-22,2
/release/rl3897001473/?ref_=bo_yld_table_237,"Bless Me, Ultima","$1,112,726",263,"$1,561,962",Feb 22,https://pro.imdb.com/company/co0051527/boxoffice/?view=releases&ref_=mojo_yld_table_237&rf=mojo_yld_table_237,Arenas Entertainment,2013-02-22,2
/release/rl4135093761/?ref_=bo_yld_table_238,What Maisie Knew,"$1,066,471",122,"$1,066,471",May 3,https://pro.imdb.com/company/co0143550/boxoffice/?view=releases&ref_=mojo_yld_table_238&rf=mojo_yld_table_238,Millennium Entertainment,2013-05-03,5
/release/rl594839041/?ref_=bo_yld_table_239,Thanks for Sharing,"$1,065,881",269,"$1,065,881",Sep 20,https://pro.imdb.com/company/co0017716/boxoffice/?view=releases&ref_=mojo_yld_table_239&rf=mojo_yld_table_239,Roadside Attractions,2013-09-20,9
/release/rl1281918465/?ref_=bo_yld_table_240,Phantom,"$1,034,589","1,118","$1,034,589",Mar 1,https://pro.imdb.com/company/co0386845/boxoffice/?view=releases&ref_=mojo_yld_table_240&rf=mojo_yld_table_240,RCR Distribution,2013-03-01,3
/release/rl676627969/?ref_=bo_yld_table_241,Ginger & Rosa,"$1,012,973",99,"$1,012,973",Mar 15,https://pro.imdb.com/company/co0390816/boxoffice/?view=releases&ref_=mojo_yld_table_241&rf=mojo_yld_table_241,A24,2013-03-15,3
/release/rl527533569/?ref_=bo_yld_table_242,Short Term 12,"$1,008,507",75,"$1,013,100",Aug 23,https://pro.imdb.com/company/co0287297/boxoffice/?view=releases&ref_=mojo_yld_table_242&rf=mojo_yld_table_242,Cinedigm Entertainment Group,2013-08-23,8
